total.pckts,tcp.pct,udp.pct,other.pct,ip.src.unique,ip.dest.unique,eth.src.unique,eth.dest.unique,pkt.length.mean,pkt.length.std,pkt.length.var,pkt.length.min,pkt.length.max,pkt.length.pquartil,pkt.length.med,pkt.length.tquartil,pkt.delta.mean,pkt.delta.std,pkt.delta.var,pkt.delta.min,pkt.delta.max,pkt.delta.pquartil,pkt.delta.med,pkt.delta.tquartil,ttl.mean,ttl.std,ttl.var,ttl.min,ttl.max,ttl.pquartil,ttl.med,ttl.tquartil,tcp.flag.res.count,tcp.flag.cwr.count,tcp.flag.urg.count,tcp.flag.ack.count,tcp.flag.push.count,tcp.flag.reset.count,tcp.flag.syn.count,tcp.flag.fyn.count,dest.port.entropy,src.port.entropy,tcp.seq.entropy,label
1968,50.609756097560975,49.23780487804878,0.1524390243902439,147,162,5,5,764.0233739837398,689.3873642143303,475254.9379383817,60.0,1514.0,66.0,378.0,1480.0,0.0005060355691056911,0.0008843711892418468,7.821124003610383e-07,0.0,0.008395,5e-05,0.000143,0.0005812500000000001,101.81674390243903,31.101753780700964,967.3190882353467,34.0,255.128,63.0,114.0,126.0,0,0,0,981,268,10,21,14,0.6639009744167319,0.6093578686800311,0.47653613377776965,0
1828,52.18818380743983,47.64770240700219,0.16411378555798686,168,192,3,3,739.4059080962801,685.5896047085287,470033.1060843966,60.0,1514.0,65.5,298.0,1480.0,0.0005434994529540481,0.001062519381837955,1.1289474367813098e-06,0.0,0.010821,2.7e-05,0.000131,0.0005815,99.73449452954047,32.816717617106214,1076.9369551608895,39.0,249.121,63.0,114.0,126.0,0,0,0,941,265,1,22,21,0.6728450113698613,0.6189619280866946,0.48183597260133987,0
1634,56.54834761321909,43.20685434516524,0.24479804161566704,169,183,5,4,712.4485924112607,682.7338215027413,466125.47102373705,60.0,1514.0,64.0,175.5,1480.0,0.0006106309669522644,0.0013126534721977908,1.7230591380729163e-06,0.0,0.016243,1.6e-05,0.0001385,0.0005777499999999999,97.58588739290086,34.21371470668126,1170.5782740301777,34.0,255.128,62.0,114.0,126.0,0,0,0,915,272,3,16,11,0.699812921646764,0.6408880690021573,0.5277299137362419,0
2076,58.911368015414254,40.99229287090559,0.09633911368015415,164,163,3,3,703.7100192678228,682.6491534558758,466009.86671402375,60.0,1514.0,66.0,172.0,1480.0,0.0004793511560693642,0.0008585219792871611,7.370599889191447e-07,0.0,0.013763,3.675e-05,0.000138,0.0005635,99.89245231213873,36.4013258771914,1325.0565256174839,37.0,253.0,63.0,114.0,126.0,0,0,0,1215,440,7,18,19,0.7020704411972565,0.6323484244008312,0.5331104029003744,0
2122,55.230914231856744,44.39208294062206,0.3770028275212064,175,206,4,6,673.9005655042413,676.0583767813812,457054.928816276,60.0,1514.0,66.0,165.0,1480.0,0.0004709886899151744,0.0008467839159688246,7.170430003434974e-07,0.0,0.009221,1.6e-05,0.000137,0.0005517499999999999,98.23322431668238,34.05515123008173,1159.7533253037368,2.0,255.128,62.0,114.0,126.0,0,0,0,1156,431,4,25,9,0.6902586924782661,0.634674592034327,0.5170349674202004,0
2191,52.89821999087175,47.01049748973072,0.09128251939753537,150,156,2,2,736.4984025559105,682.194146010744,465388.8528513283,60.0,1514.0,66.0,324.0,1480.0,0.00045598767685988133,0.0008366526642938446,6.999876806699886e-07,0.0,0.011414,3.95e-05,0.000136,0.0005215,99.17667594705614,33.20233815293559,1102.3952588218824,40.0,245.0,63.0,114.0,126.0,0,0,0,1146,387,15,21,20,0.681309096643504,0.6221661575062027,0.5067651867153637,0
2049,50.70766227428014,49.04831625183016,0.2440214738897023,171,182,6,6,731.3055148853099,686.0398189446288,470650.63317757903,60.0,1514.0,62.0,256.0,1480.0,0.0004876900927281601,0.0008923540875038371,7.962958174848058e-07,0.0,0.009462,1.6e-05,0.000135,0.000582,100.09008003904343,32.94886448380143,1085.6276707719112,37.0,255.128,63.0,114.0,126.0,0,0,0,1024,310,7,21,22,0.6604740623605372,0.603865077560995,0.46599135119888424,0
2207,53.96465790666063,45.89941096511101,0.1359311282283643,179,190,3,5,705.5459900317172,683.6815070111354,467420.40302901715,60.0,1514.0,62.0,178.0,1480.0,0.00045279746261893975,0.0008749037767233818,7.654566185248372e-07,0.0,0.013716,1.6e-05,0.000128,0.00046699999999999997,99.45279700951518,33.50011397882574,1122.2576365943157,37.0,253.0,62.0,114.0,126.0,0,0,0,1166,359,8,41,24,0.6657101867803707,0.6203513067070627,0.48018472861373085,0
2308,52.729636048526864,47.053726169844026,0.21663778162911612,175,190,3,3,691.0701906412478,679.7474372977345,462056.57851283747,60.0,1514.0,66.0,165.0,1480.0,0.0004315623916811092,0.0007166650471294282,5.136087897770255e-07,0.0,0.005759,1.7e-05,0.000138,0.000538,99.87459012131715,33.35542607131404,1112.5844483988967,41.0,255.128,63.0,114.0,126.0,0,0,0,1201,458,10,26,17,0.681927795914471,0.6301638374647794,0.49965062829482954,0
1635,66.36085626911316,33.149847094801224,0.4892966360856269,164,176,5,5,635.42874617737,664.0365419451799,440944.5290385127,60.0,1514.0,66.0,149.0,1480.0,0.0006110727828746177,0.0011720466460327613,1.373693340476645e-06,0.0,0.01324,1.5e-05,0.00015,0.000635,93.80209480122323,35.34845839173411,1249.5135106721577,41.0,255.128,62.0,112.0,126.0,0,0,0,1070,343,10,27,41,0.7482942152080768,0.6875101616051625,0.5594128249402919,0
