total.pckts,tcp.pct,udp.pct,http.pct,other.pct,ip.src.unique,ip.dest.unique,eth.src.unique,eth.dest.unique,pkt.length.mean,pkt.length.std,pkt.length.var,pkt.length.min,pkt.length.max,pkt.length.pquartil,pkt.length.med,pkt.length.tquartil,pkt.delta.mean,pkt.delta.std,pkt.delta.var,pkt.delta.min,pkt.delta.max,pkt.delta.pquartil,pkt.delta.med,pkt.delta.tquartil,ttl.mean,ttl.std,ttl.var,ttl.min,ttl.max,ttl.pquartil,ttl.med,ttl.tquartil,tcp.flag.urg.count,tcp.flag.ack.count,tcp.flag.push.count,tcp.flag.reset.count,tcp.flag.syn.count,tcp.flag.fyn.count,dest.port.entropy,src.port.entropy,tcp.seq.entropy,http.statusok,http.statusnotok,http.get.pct,http.post.pct,http.othermethods.pct,http.useragent.unique,http.url.unique,http.avg.url.len,apache.total.access.logs,apache.unique.ips,apache.get.count,apache.nonget.count,apache.unique.urls,apache.avg.url.length,apache.status.200.count,apache.status.non200.count,apache.avg.request.size,apache.unique.user.agents,firewall.total.logs,firewall.unique.src.ips,firewall.unique.dest.ips,firewall.unique.src.ports,firewall.unique.dest.ports,firewall.unique.prot,firewall.avg.pkt.length,firewall.avg.ttl,firewall.avg.win.size,firewall.count.seq,firewall.count_ACK,firewall.unique.marks,firewall.unique.in.interface,firewall.unique.mac,firewall.tos,firewall.precedence,label
1489,79.98656816655473,0.0,20.013431833445267,0.0,26,26,26,26,171.48153122901277,275.0868481411542,75672.77402023443,66.0,990.0,66.0,66.0,74.0,0.0006570094607118,0.0017260178200063,2.9791375149795342e-06,-5.224e-05,0.01816069,3.4074e-05,0.000103797,0.000517102,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,1339,298,0,300,295,0.6350311800621008,0.6370486828987751,0.7678526385931863,10.006715916722634,89.99328408327737,10.006715916722634,0.0,89.99328408327737,2,2,19.0,149.0,25.0,149.0,0.0,1.0,1.0,149.0,0.0,924.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1500,80.2,0.0,19.8,0.0,26,26,26,26,170.092,273.4184740966093,74757.66197731822,66.0,990.0,66.0,66.0,74.0,0.000666131708,0.0015251250482862,2.326006412910179e-06,-3.3384e-05,0.014521827,3.7052e-05,0.0001097305,0.00068178875,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,1350,297,0,300,297,0.630016582996061,0.6385144916772876,0.7752576403899477,9.866666666666667,90.13333333333333,9.933333333333334,0.0,90.06666666666666,2,2,19.0,148.0,25.0,148.0,0.0,1.0,1.0,148.0,0.0,924.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1502,80.09320905459387,0.0,19.90679094540613,0.0,26,26,26,26,171.1837549933422,274.8683208251164,75552.59379321909,66.0,990.0,66.0,66.0,74.0,0.000661808960719,0.0014590512805098,2.1288306391573314e-06,-4.5892e-05,0.014222172,3.6102e-05,0.000107075,0.00065533075,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,1352,299,0,300,300,0.633046934542411,0.6358173706971207,0.7690796325534993,9.986684420772304,90.0133155792277,9.92010652463382,0.0,90.07989347536618,2,2,19.0,149.0,25.0,149.0,0.0,1.0,1.0,149.0,0.0,924.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1503,80.10645375914837,0.0,19.89354624085163,0.0,26,26,26,26,170.56420492348636,273.98011527249616,75065.10356473028,66.0,990.0,66.0,66.0,74.0,0.0006595664351297,0.0014211261888552,2.019599644650278e-06,-5.6365e-05,0.012676119,3.4831999999999994e-05,0.000104623,0.0005939865,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,1354,299,0,298,299,0.6318718175703678,0.6381279722192464,0.7717327930452941,9.91350632069195,90.08649367930803,9.98003992015968,0.0,90.01996007984032,2,2,19.0,149.0,25.0,149.0,0.0,1.0,1.0,149.0,0.0,924.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1490,80.20134228187919,0.0,19.798657718120804,0.0,26,26,26,26,170.63758389261744,274.228160748092,75201.0841472814,66.0,990.0,66.0,66.0,74.0,0.0006708109355704,0.0014543149752063,2.115032047109354e-06,-5.1245e-05,0.012040367,3.481875e-05,0.0001070085,0.000521749,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,1340,295,0,300,297,0.6319102914121596,0.6361192430498702,0.7705428583019932,9.93288590604027,90.06711409395973,9.865771812080537,0.0,90.13422818791946,2,2,19.0,150.0,25.0,150.0,0.0,1.0,1.0,150.0,0.0,924.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1495,79.93311036789298,0.0,20.066889632107024,0.0,26,26,26,26,171.7418060200669,275.4074313407319,75849.25323769994,66.0,990.0,66.0,66.0,74.0,0.0006681997110367,0.001470535266879,2.162473971134919e-06,-6.2308e-05,0.011411411,3.41515e-05,0.000107583,0.000531933,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,1346,300,0,298,296,0.6328358586498141,0.6360739229985648,0.7711698786116747,10.033444816053512,89.96655518394648,10.033444816053512,0.0,89.96655518394648,2,2,19.0,150.0,25.0,150.0,0.0,1.0,1.0,150.0,0.0,924.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1473,79.76917854718262,0.0,20.23082145281738,0.0,26,26,26,26,172.61642905634758,276.36078376020527,76375.28280055492,66.0,990.0,66.0,66.0,74.0,0.0006773531425661,0.0014995984041701,2.248795373789544e-06,-5.0018e-05,0.009931963,3.3177e-05,9.9545e-05,0.000508486,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,1324,298,0,298,291,0.6338130982579149,0.6321148652366394,0.7660382044291802,10.11541072640869,89.8845892735913,10.11541072640869,0.0,89.8845892735913,2,2,19.0,145.0,25.0,145.0,0.0,1.0,1.0,145.0,0.0,924.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1491,79.87927565392354,0.0,20.12072434607646,0.0,26,26,26,26,172.02548625083836,275.72228396251364,76022.77787350501,66.0,990.0,66.0,66.0,74.0,0.0006688092930918,0.001398053445945,1.9545534377188018e-06,-4.4569e-05,0.010042993,3.60585e-05,0.00010484,0.000534369,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,1342,300,0,298,297,0.6304644374147741,0.6312167256241795,0.7662063391908146,10.06036217303823,89.93963782696177,10.06036217303823,0.0,89.93963782696177,2,2,19.0,144.0,25.0,144.0,0.0,1.0,1.0,144.0,0.0,924.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1492,79.95978552278821,0.0,20.040214477211794,0.0,26,26,26,26,171.32439678284183,274.8450828717469,75539.81957877742,66.0,990.0,66.0,66.0,74.0,0.0006675191099195,0.0014033584652604,1.9694149820182265e-06,-6.6229e-05,0.010298221,3.4852500000000006e-05,0.000105752,0.0005415414999999,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,1344,299,0,296,297,0.6282773320764439,0.632801596019946,0.7705447237017474,9.986595174262732,90.01340482573727,10.05361930294906,0.0,89.94638069705094,2,2,19.0,145.0,25.0,145.0,0.0,1.0,1.0,145.0,0.0,924.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1480,80.54054054054053,0.0,19.45945945945946,0.0,26,26,26,26,168.0689189189189,270.94462379198154,73410.9891617784,66.0,990.0,66.0,66.0,74.0,0.0006744524966216,0.0014470821025382,2.0940466114866102e-06,-4.5554e-05,0.011079175,3.547925e-05,0.0001056125,0.000520031,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,1330,288,0,300,293,0.6214501355589999,0.6358277416280149,0.7809063734075344,9.66216216216216,90.33783783783784,9.797297297297296,0.0,90.2027027027027,2,2,19.0,148.0,25.0,148.0,0.0,1.0,1.0,148.0,0.0,924.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1466,80.69577080491132,0.0,19.30422919508868,0.0,26,26,26,26,168.64392905866302,272.12102323035907,74049.85128393762,66.0,990.0,66.0,66.0,74.0,0.0006815770682128,0.001493073880104,2.229269611448971e-06,-7.9983e-05,0.011701934,3.366325e-05,0.0001021449999999,0.0005097005,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,1317,283,0,298,293,0.6219144409574089,0.634529639261824,0.7831826458252114,9.754433833560707,90.24556616643927,9.549795361527966,0.0,90.45020463847204,2,2,19.0,150.0,25.0,150.0,0.0,1.0,1.0,150.0,0.0,924.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1500,80.2,0.0,19.8,0.0,26,26,26,26,170.092,273.4184740966093,74757.66197731823,66.0,990.0,66.0,66.0,74.0,0.0006647440533333,0.0014720750044404,2.1670048186984173e-06,-5.7482e-05,0.011698632,3.5230499999999994e-05,0.0001053399999999,0.00052709275,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,1350,297,0,300,298,0.6256550459457217,0.6326284594346986,0.7715565618127245,9.866666666666667,90.13333333333333,9.933333333333334,0.0,90.06666666666666,2,2,19.0,150.0,25.0,150.0,0.0,1.0,1.0,150.0,0.0,924.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1505,80.265780730897,0.0,19.73421926910299,0.0,26,26,26,26,170.27375415282393,273.85061448057587,74994.159051389,66.0,990.0,66.0,66.0,74.0,0.0006628121960132,0.0015146054298544,2.2940296081446214e-06,-6.5666e-05,0.011087621,3.2812e-05,0.000103391,0.000500263,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,1356,297,0,298,299,0.6244951324997273,0.6342375024079613,0.7790608316036212,9.900332225913624,90.09966777408638,9.833887043189367,0.0,90.16611295681062,2,2,19.0,150.0,25.0,150.0,0.0,1.0,1.0,150.0,0.0,924.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494,79.91967871485943,0.0,20.080321285140563,0.0,26,26,26,26,171.72690763052208,275.5177171138225,75910.01244361234,66.0,990.0,66.0,66.0,74.0,0.0006690431967871,0.0015650491202166,2.449378748690833e-06,-8.8339e-05,0.010749826,3.3299e-05,0.000104633,0.00047320925,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,1353,300,0,282,300,0.6295436273873296,0.6374079824360336,0.8392741622939606,10.040160642570282,89.95983935742971,10.040160642570282,0.0,89.95983935742971,2,2,19.0,150.0,25.0,150.0,0.0,1.0,1.0,150.0,0.0,924.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1495,79.93311036789298,0.0,20.066889632107024,0.0,26,26,26,26,171.68829431438127,275.4272071088174,75860.1464157634,66.0,990.0,66.0,66.0,74.0,0.0006644107745819,0.0015992857756783,2.557714992287105e-06,-5.0251e-05,0.010239315,3.2511e-05,9.3543e-05,0.0004505175,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,1351,300,0,288,299,0.6333903075937768,0.63923666756094,0.8366953373217757,10.033444816053512,89.96655518394648,10.033444816053512,0.0,89.96655518394648,2,2,19.0,150.0,25.0,150.0,0.0,1.0,1.0,150.0,0.0,924.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1511,80.14559894109861,0.0,19.854401058901388,0.0,26,26,26,26,170.62210456651223,274.15830398423986,75162.77564351488,66.0,990.0,66.0,66.0,74.0,0.0006584261661151,0.0016861878501331,2.843229465936608e-06,-5.4814e-05,0.012350392,3.0156e-05,7.9841e-05,0.000372868,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,1362,300,0,298,300,0.6320864624453736,0.6406326797260352,0.7762435837605557,9.927200529450694,90.0727994705493,9.927200529450694,0.0,90.0727994705493,2,2,19.0,149.0,25.0,149.0,0.0,1.0,1.0,149.0,0.0,924.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1511,80.14559894109861,0.0,19.854401058901388,0.0,26,26,26,26,170.62210456651223,274.15830398423986,75162.77564351488,66.0,990.0,66.0,66.0,74.0,0.0006580583494374,0.0018291702298477,3.3458637297611345e-06,-6.8437e-05,0.014977907,3.06295e-05,8.0747e-05,0.0003652739999999,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,1362,300,0,298,300,0.6326699706767301,0.6412161879573919,0.7762435837605557,9.927200529450694,90.0727994705493,9.927200529450694,0.0,90.0727994705493,2,2,19.0,150.0,25.0,150.0,0.0,1.0,1.0,150.0,0.0,924.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1509,80.11928429423459,0.0,19.880715705765407,0.0,26,26,26,26,170.7713717693837,274.3096545036033,75245.78655388624,66.0,990.0,66.0,66.0,74.0,0.0006562587534791,0.0019156553631542,3.669735470381583e-06,-6.2907e-05,0.017276857,2.8975e-05,7.8799e-05,0.000343176,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,1359,300,0,300,299,0.6333277242217247,0.6405244309135656,0.7748452261244176,9.940357852882704,90.05964214711729,9.940357852882704,0.0,90.05964214711729,2,2,19.0,150.0,25.0,150.0,0.0,1.0,1.0,150.0,0.0,924.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1503,80.1729873586161,0.0,19.8270126413839,0.0,26,26,26,26,170.499001996008,273.98937375336715,75070.17692976231,66.0,990.0,66.0,66.0,74.0,0.0006620494910179,0.0019115228289409,3.653919525562328e-06,-5.2666e-05,0.017673094,3.1767500000000004e-05,8.1016e-05,0.000417459,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,1353,298,0,300,297,0.6318409106246684,0.6405264375151558,0.7772635249450834,9.91350632069195,90.08649367930803,9.91350632069195,0.0,90.08649367930803,2,2,19.0,149.0,25.0,149.0,0.0,1.0,1.0,149.0,0.0,924.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1500,80.0,0.0,20.0,0.0,26,26,26,26,171.4,275.0113831108821,75631.26084056037,66.0,990.0,66.0,66.0,74.0,0.0006588392026666,0.0018147017920301,3.293142593997568e-06,-4.4977e-05,0.017958371,3.29905e-05,7.475900000000001e-05,0.00043069875,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,1350,300,0,300,299,0.6347296959302822,0.6361394703501346,0.7648113060144992,10.0,90.0,10.0,0.0,90.0,2,2,19.0,149.0,25.0,149.0,0.0,1.0,1.0,149.0,0.0,924.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1506,80.0796812749004,0.0,19.9203187250996,0.0,26,26,26,26,170.9800796812749,274.54299011906176,75373.85342351523,66.0,990.0,66.0,66.0,74.0,0.000657744130146,0.001789793254175,3.203359892690456e-06,-6.2097e-05,0.017717467,3.2749499999999995e-05,9.26535e-05,0.0004575665,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,1356,300,0,300,300,0.6329388687676942,0.637280491927223,0.770537369746274,9.9601593625498,90.0398406374502,9.9601593625498,0.0,90.0398406374502,2,2,19.0,148.0,25.0,148.0,0.0,1.0,1.0,148.0,0.0,924.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1499,80.12008005336891,0.0,19.879919946631087,0.0,26,26,26,26,170.76717811874582,274.30557272212104,75243.54722641082,66.0,990.0,66.0,66.0,74.0,0.0006537415496997,0.0017877716848087,3.1961275970040275e-06,-4.544e-05,0.017717975,3.30495e-05,9.4778e-05,0.0004072915,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,1350,298,0,298,298,0.6320889330193991,0.6383202456272008,0.774524324405529,9.939959973315544,90.06004002668445,9.939959973315544,0.0,90.06004002668445,2,2,19.0,150.0,25.0,150.0,0.0,1.0,1.0,150.0,0.0,924.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1495,80.20066889632108,0.0,19.79933110367893,0.0,26,26,26,26,170.3638795986622,273.8223977722651,74978.70552175258,66.0,990.0,66.0,66.0,74.0,0.0006664689290969,0.0018142001642692,3.2913222360346868e-06,-4.788e-05,0.016977827,3.22285e-05,8.1046e-05,0.000428665,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,1345,296,0,300,298,0.632107716319531,0.6372409839164369,0.7701881511220326,9.899665551839464,90.10033444816054,9.899665551839464,0.0,90.10033444816054,2,2,19.0,149.0,25.0,149.0,0.0,1.0,1.0,149.0,0.0,924.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1506,80.2124833997344,0.0,19.787516600265604,0.0,26,26,26,26,170.29083665338646,273.7558392872822,74942.25954388427,66.0,990.0,66.0,66.0,74.0,0.0006630060166002,0.0018108229619684,3.2790797995923447e-06,-7.0046e-05,0.0158375,3.457475e-05,8.1837e-05,0.00035696675,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,1356,298,0,300,298,0.629979769235294,0.6391916670885398,0.778676175742883,9.893758300132802,90.1062416998672,9.893758300132802,0.0,90.1062416998672,2,2,19.0,150.0,25.0,150.0,0.0,1.0,1.0,150.0,0.0,924.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1468,79.56403269754769,0.0,20.435967302452315,0.0,26,26,26,26,173.69754768392372,277.54893905888764,77033.41357271414,66.0,990.0,66.0,66.0,74.0,0.0006783033480926,0.0017508827233163,3.0655903108076897e-06,-4.8228e-05,0.015334822,3.3602e-05,9.8212e-05,0.00043964825,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,1318,300,0,300,287,0.6363204341291796,0.6318563548629369,0.7635448767805437,10.217983651226158,89.78201634877384,10.217983651226158,0.0,89.78201634877384,2,2,19.0,149.0,25.0,149.0,0.0,1.0,1.0,149.0,0.0,924.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1510,80.26490066225166,0.0,19.735099337748345,0.0,26,26,26,26,170.0039735099338,273.44922946960526,74774.48109752084,66.0,990.0,66.0,66.0,74.0,0.0006613489456953,0.0016583648453101,2.7501739601607062e-06,-5.0666e-05,0.014812718,3.5837e-05,0.0001052985,0.00047651875,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,1361,298,0,298,297,0.619639714709527,0.6380223979407144,0.7942238768916308,9.867549668874172,90.13245033112582,9.867549668874172,0.0,90.13245033112582,2,2,19.0,142.0,25.0,142.0,0.0,1.0,1.0,142.0,0.0,924.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
